POSITION,TEAM,GAMES PLAYED,WIN,DRAW,LOSS,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,POINTS,YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME
18,Argentina,3,1,1,1,2,2,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Costa Rica,3,1,1,1,5,6,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Cameroon,3,1,1,1,2,3,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Portugal,3,1,0,2,6,4,2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Russia,3,1,0,2,4,4,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Croatia,3,1,0,2,2,3,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Ecuador,3,1,0,2,2,4,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,Poland,3,1,0,2,3,7,−4,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
26,Uruguay,3,0,2,1,4,5,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
27,Nigeria,3,0,1,2,1,3,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,France,3,0,1,2,0,3,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
29,Tunisia,3,0,1,2,1,5,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
30,Slovenia,3,0,0,3,2,7,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
31,China PR,3,0,0,3,0,9,−9,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
32,Saudi Arabia,3,0,0,3,0,12,−12,0,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
1,Spain,7,6,0,1,8,2,6,18,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Netherlands,7,6,0,1,12,6,6,18,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Germany,7,5,0,2,16,5,11,15,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Uruguay,7,3,2,2,11,8,3,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Argentina,5,4,0,1,10,6,4,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Brazil,5,3,1,1,9,4,5,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Ghana,5,2,2,1,5,4,1,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Paraguay,5,1,3,1,3,2,1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Japan,4,2,1,1,4,2,2,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Chile,4,2,0,2,3,5,−2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Portugal,4,1,2,1,7,1,6,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,United States,4,1,2,1,5,5,0,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,England,4,1,2,1,3,5,−2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Mexico,4,1,1,2,4,5,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,South Korea,4,1,1,2,6,8,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Slovakia,4,1,1,2,5,7,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Ivory Coast,3,1,1,1,4,3,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Slovenia,3,1,1,1,3,3,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Switzerland,3,1,1,1,1,1,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,South Africa,3,1,1,1,3,5,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Australia,3,1,1,1,3,6,−3,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,New Zealand,3,0,3,0,2,2,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Serbia,3,1,0,2,2,3,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Denmark,3,1,0,2,3,6,−3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,Greece,3,1,0,2,2,5,−3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
26,Italy,3,0,2,1,4,5,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
27,Nigeria,3,0,1,2,3,5,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,Algeria,3,0,1,2,0,2,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
29,France,3,0,1,2,1,4,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
30,Honduras,3,0,1,2,0,3,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
31,Cameroon,3,0,0,3,2,5,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
32,North Korea,3,0,0,3,1,12,−11,0,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
1,Italy,7,5,2,0,12,2,10,17,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,France,7,4,3,0,9,3,6,15,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Germany,7,5,1,1,14,6,8,16,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Portugal,7,4,1,2,7,5,2,13,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Brazil,5,4,0,1,10,2,8,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Argentina,5,3,2,0,11,3,8,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,England,5,3,2,0,6,2,4,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Ukraine,5,2,1,2,5,7,−2,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Spain,4,3,0,1,9,4,5,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Switzerland,4,2,2,0,4,0,4,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Netherlands,4,2,1,1,3,2,1,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Ecuador,4,2,0,2,5,4,1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Ghana,4,2,0,2,4,6,−2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Sweden,4,1,2,1,3,4,−1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Mexico,4,1,1,2,5,5,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Australia,4,1,1,2,5,6,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,South Korea,3,1,1,1,3,4,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Paraguay,3,1,0,2,2,2,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Ivory Coast,3,1,0,2,5,6,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Czech Republic,3,1,0,2,3,4,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Poland,3,1,0,2,2,4,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Croatia,3,0,2,1,2,3,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Angola,3,0,2,1,1,2,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Tunisia,3,0,1,2,3,6,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,Iran,3,0,1,2,2,6,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,United States,3,0,1,2,2,6,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
27,Trinidad and Tobago,3,0,1,2,0,4,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,Japan,3,0,1,2,2,7,−5,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,Saudi Arabia,3,0,1,2,2,7,−5,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
30,Togo,3,0,0,3,1,6,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
31,Costa Rica,3,0,0,3,3,9,−6,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
32,Serbia and Montenegro,3,0,0,3,2,10,−8,0,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
1,Brazil,6,6,0,0,19,7,12,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Italy,6,3,2,1,10,8,2,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,West Germany,6,5,0,1,17,10,7,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Uruguay,6,2,1,3,4,5,−1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Soviet Union,4,2,1,1,6,2,4,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Mexico,4,2,1,1,6,4,2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Peru,4,2,0,2,9,9,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,England,4,2,0,2,4,4,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Sweden,3,1,1,1,2,2,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Belgium,3,1,0,2,4,5,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Romania,3,1,0,2,4,5,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Israel*,3,0,2,1,1,3,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Bulgaria**,3,0,1,2,5,9,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Morocco,3,0,1,2,2,6,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Czechoslovakia,3,0,0,3,2,7,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,El Salvador,3,0,0,3,0,9,−9,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,England,6,5,1,0,11,3,8,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,West Germany,6,4,1,1,15,6,9,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Portugal,6,5,0,1,17,8,9,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Soviet Union,6,4,0,2,10,6,4,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Argentina,4,2,1,1,4,2,2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Hungary,4,2,0,2,8,7,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Uruguay,4,1,2,1,2,5,−3,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,North Korea,4,1,1,2,5,9,−4,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Italy,3,1,0,2,2,2,0,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Spain,3,1,0,2,4,5,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Brazil,3,1,0,2,4,6,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Mexico,3,0,2,1,1,3,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Chile,3,0,1,2,2,5,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,France,3,0,1,2,2,5,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Bulgaria,3,0,0,3,1,8,−7,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Switzerland,3,0,0,3,1,9,−8,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,France,7,6,1,0,15,2,13,19,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Brazil,7,4,1,2,14,10,4,13,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Croatia,7,5,0,2,11,5,6,15,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Netherlands,7,3,3,1,13,7,6,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Italy,5,3,2,0,8,3,5,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Argentina,5,3,1,1,10,4,6,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Germany,5,3,1,1,8,6,2,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Denmark,5,2,1,2,9,7,2,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,England,4,2,1,1,7,4,3,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,FR Yugoslavia,4,2,1,1,5,4,1,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Romania,4,2,1,1,4,3,1,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Nigeria,4,2,0,2,6,9,−3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Mexico,4,1,2,1,8,7,1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Paraguay,4,1,2,1,3,2,1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Norway,4,1,2,1,5,5,0,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Chile,4,0,3,1,5,8,−3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Spain,3,1,1,1,8,4,4,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Morocco,3,1,1,1,5,5,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Belgium,3,0,3,0,3,3,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Iran,3,1,0,2,2,4,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Colombia,3,1,0,2,1,3,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Jamaica,3,1,0,2,3,9,−6,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Austria,3,0,2,1,3,4,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,South Africa,3,0,2,1,3,6,−3,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,Cameroon,3,0,2,1,2,5,−3,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
26,Tunisia,3,0,1,2,1,4,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
27,Scotland,3,0,1,2,2,6,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,Saudi Arabia,3,0,1,2,2,7,−5,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
29,Bulgaria,3,0,1,2,1,7,−6,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
30,South Korea,3,0,1,2,2,9,−7,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
31,Japan,3,0,0,3,1,4,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
32,United States,3,0,0,3,1,5,−4,0,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
1,Brazil,6,5,1,0,14,5,9,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Czechoslovakia,6,3,1,2,7,7,0,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Chile,6,4,0,2,10,8,2,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Yugoslavia,6,3,0,3,10,7,3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Hungary,4,2,1,1,8,3,5,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Soviet Union,4,2,1,1,9,7,2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,West Germany,4,2,1,1,4,2,2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,England,4,1,1,2,5,6,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Italy,3,1,1,1,3,2,1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Argentina,3,1,1,1,2,3,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Mexico,3,1,0,2,3,4,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Spain,3,1,0,2,2,3,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Uruguay,3,1,0,2,4,6,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Colombia,3,0,1,2,5,11,−6,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Bulgaria,3,0,1,2,1,7,−6,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Switzerland,3,0,0,3,2,8,−6,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,West Germany,7,6,0,1,13,4,9,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Netherlands,7,5,1,1,15,3,12,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Poland,7,6,0,1,16,5,11,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Brazil,7,3,2,2,6,4,2,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Sweden,6,2,2,2,7,6,1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,East Germany,6,2,2,2,5,5,0,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Yugoslavia,6,1,2,3,12,7,5,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Argentina,6,1,2,3,9,12,−3,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Scotland,3,1,2,0,3,1,2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Italy,3,1,1,1,5,4,1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Chile,3,0,2,1,1,2,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Bulgaria,3,0,2,1,2,5,−3,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Uruguay,3,0,1,2,1,6,−5,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Australia,3,0,1,2,0,5,−5,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Haiti,3,0,0,3,2,14,−12,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Zaire,3,0,0,3,0,14,−14,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
